Data Amount,Accuracy(gamma = 'scale')
100,99.35
200,98.06
300,98.71
400,98.71
500,97.73
600,96.12
700,96.76
800,94.17
900,96.44
1000,96.44

Data Amount,Accuracy(gamma = 0.75)
100,97.09
200,95.79
300,98.71
400,95.47
500,94.50
600,92.88
700,96.44
800,93.85
900,96.44
1000,97.09

Data Amount,Accuracy(gamma = 1)
100,96.12
200,95.79
300,97.73
400,94.50
500,94.50
600,93.53
700,96.44
800,92.88
900,96.44
1000,97.73

Data Amount,Accuracy(gamma = 0.1)
100,100.00
200,98.71
300,99.35
400,99.35
500,99.68
600,98.71
700,98.71
800,97.09
900,97.09
1000,98.71

Data Amount,Accuracy(gamma = 0.01)
100,100.00
200,99.35
300,100
400,100
500,100
600,99.68
700,99.68
800,99.68
900,99.68
1000,99.68
